EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
3.5,6,265,17,23,4451,106,189,36945
2,4,200,24,31,2778,101,172,23820
2.4,4,200,22,29,3230,105,183,26990
3.2,6,270,20,28,3575,108,186,33195
3.5,6,225,18,24,3880,115,197,43755
3.5,6,225,18,24,3893,115,197,46100
3.2,6,290,17,24,3153,100,174,89765
1.8,4,170,22,31,3252,104,179,25940
1.8,4,170,23,30,3638,105,180,35940
3,6,220,20,28,3462,104,179,31840
3,6,220,17,26,3583,104,179,33430
3,6,220,18,25,3627,104,179,34480
3,6,220,20,27,3561,109,192,36640
3,6,220,18,25,3880,109,192,39640
3,6,220,20,27,3814,105,180,42490
3,6,220,18,25,4013,105,180,44240
2.7,6,250,18,25,3836,109,192,42840
4.2,8,300,17,24,4024,109,193,49690
4.2,8,330,17,24,4399,121,204,69190
4.2,8,340,14,20,3825,104,179,48040
4.2,8,450,15,22,4024,109,191,84600
1.8,4,180,20,28,3131,95,159,35940
1.8,4,225,20,28,2921,96,159,37390
3.2,6,250,21,29,3351,96,159,40590
3,6,220,18,25,4035,109,192,40840
4.2,8,340,15,21,3936,104,179,49090
3,6,225,16,23,4023,110,180,37000
4.4,8,325,16,22,4824,111,184,52195
2.5,6,184,20,29,3219,107,176,28495
2.5,6,184,20,29,3197,107,177,30795
2.5,6,184,19,27,3560,107,177,37995
2.5,6,184,19,27,3461,107,176,30245
3,6,225,20,30,3285,107,176,35495
3,6,225,20,30,3285,107,176,36995
3,6,225,20,29,3483,107,176,37245
2.5,6,184,19,28,3428,114,191,39995
3,6,225,19,28,3616,107,177,44295
3,6,225,20,30,3472,114,191,44995
4.4,8,325,18,26,3814,114,191,54995
4.4,8,325,18,26,4376,118,198,69195
4.4,8,325,18,26,4464,123,204,73195
3.2,6,333,16,24,3415,108,177,48195
3.2,6,333,16,23,3781,108,177,56595
2.5,6,184,20,28,2932,98,161,33895
3,6,225,21,29,2998,98,161,41045
2.5,6,184,19,26,3594,107,176,32845
4.2,6,275,15,21,4600,113,193,37895
3.4,6,185,19,26,4024,112,187,26545
3.1,6,175,20,30,3353,109,195,22180
3.8,6,205,20,29,3567,112,200,26470
3.8,6,200,20,30,3461,109,196,24895
3.8,6,240,18,28,3536,109,196,28345
3.8,6,205,20,29,3591,112,200,32245
3.8,6,205,20,29,3778,114,207,35545
3.8,6,240,18,28,3909,114,207,40720
5.3,8,295,14,18,5367,116,199,52795
4.6,8,320,16,21,4302,116,195,46995
3.6,6,255,18,25,3694,113,190,30835
4.6,8,275,18,26,3984,115,207,45445
4.6,8,300,18,26,4044,115,207,50595
4.6,8,275,18,26,3992,112,201,47955
4.6,8,320,17,25,3647,106,178,76200
6,8,345,13,17,5879,130,221,52975
5.3,8,295,14,18,4947,130,219,42735
5.3,8,295,14,18,5050,116,197,41465
4.2,6,275,16,21,4425,113,192,30295
2.5,6,165,19,22,2866,98,163,20255
1.6,4,103,28,34,2370,98,167,11690
1.6,4,103,28,34,2348,98,153,12585
2.2,4,140,26,37,2617,104,183,14610
2.2,4,140,26,37,2676,104,183,14810
2.2,4,140,26,37,2617,104,183,16385
3.4,6,180,21,32,3465,111,200,21900
2.2,4,145,24,34,3174,106,188,18995
3.5,6,200,22,30,3297,106,188,20370
3.4,6,180,21,32,3340,111,198,21825
3.8,6,200,20,30,3476,111,200,25000
3.8,6,240,18,28,3606,111,200,27995
3.5,6,200,23,32,3315,106,188,23495
3.8,6,200,18,28,3434,111,198,24225
4.3,6,190,14,17,4605,111,190,26395
3.4,6,185,19,26,3699,112,187,27020
5.7,8,350,18,25,3246,105,180,44535
5.7,8,350,18,25,3248,105,180,51535
5.3,8,295,14,18,5678,130,222,36100
2.8,4,175,18,23,3623,111,192,18760
4.3,6,200,15,21,4142,119,206,20310
6,8,300,13,17,4804,144,238,40340
5.3,8,300,16,19,4760,116,191,41995
3.5,6,200,22,30,3458,112,188,22225
2.4,4,150,22,29,3101,103,169,17985
2.4,4,150,22,29,3105,103,169,22000
2.4,4,150,22,30,3173,108,191,19090
2.7,6,200,21,28,3222,108,191,21840
3.5,6,250,18,27,3581,113,198,29865
2.7,6,200,21,29,3479,113,208,24130
3.5,6,232,19,27,3548,113,208,26860
2.4,4,220,21,27,3217,103,169,25955
2.4,4,150,22,30,3357,106,194,25215
3.5,6,255,18,27,3650,113,198,33295
2.7,6,200,21,28,3448,106,194,30950
3.3,6,180,19,26,4068,119,201,27490
3.8,6,215,18,25,4331,119,201,38380
3.2,6,215,17,25,3060,95,160,34495
3.5,6,250,17,23,4675,116,199,31230
4.7,8,230,15,21,4987,119,201,32235
2,4,132,29,36,2581,105,174,13670
